사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하차총승객수,연월,월일,등록일자
2019-02-01,금,3호선,학여울,1964,2005,3969,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,대청,11229,9764,20993,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,일원,10840,10636,21476,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,수서,19520,20827,40347,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,가락시장,11857,11600,23457,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,경찰병원,8765,8459,17224,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,오금,7628,6529,14157,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,당고개,13710,12544,26254,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,상계,23201,20606,43807,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,노원,24417,28603,53020,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,창동,33076,34963,68039,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,쌍문,36814,32036,68850,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,수유,42459,42473,84932,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,미아,18571,16844,35415,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,미아사거리,32801,31894,64695,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,길음,24572,22904,47476,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,성신여대입구,25687,24089,49776,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,한성대입구,16539,15262,31801,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,혜화,40225,40595,80820,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,동대문,25124,25555,50679,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,동대문역사문화공원,21604,19937,41541,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,충무로,32328,33615,65943,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,명동,32587,35300,67887,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,회현,30730,32589,63319,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,서울역,14654,25753,40407,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,숙대입구,16619,16318,32937,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,삼각지,5320,6037,11357,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,신용산,19025,20876,39901,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,이촌,9625,10441,20066,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,동작,2422,2632,5054,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,총신대입구,24602,27421,52023,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,사당,31362,26066,57428,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,남태령,1823,1256,3079,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,서울역,5440,1430,6870,Feb-19,02월 01일,20190204
